epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.68,2.14128,1.82361,2.34931,0.99277,0.99362,0.99471,0.69344,1.08791,0.54213,1.51481,0.0700181,0.00333132,0.00333132
2,1431.49,1.13031,0.55715,1.36613,0.99613,0.99716,0.99474,0.7313,0.9835,0.41807,1.39848,0.0398862,0.00653269,0.00653269
3,2127.8,1.05954,0.47261,1.29969,0.99389,0.99877,0.99451,0.72812,0.96263,0.38204,1.37637,0.00962223,0.00960206,0.00960206
4,2825.67,1.01649,0.42565,1.2676,0.99956,0.99967,0.99498,0.75921,0.93417,0.31985,1.33772,0.009406,0.009406,0.009406
5,3523.98,0.99043,0.39809,1.24853,0.99945,0.99975,0.99496,0.77132,0.92207,0.30299,1.32682,0.009208,0.009208,0.009208
6,4221.97,0.98129,0.38666,1.24001,0.99972,0.99991,0.99499,0.76956,0.91692,0.29231,1.31955,0.00901,0.00901,0.00901
7,4917.63,0.97138,0.37875,1.23134,0.99973,0.99982,0.99499,0.77316,0.9133,0.28747,1.31461,0.008812,0.008812,0.008812
8,5615.8,0.9638,0.3733,1.22655,0.99976,0.9999,0.99499,0.77559,0.91019,0.2834,1.31473,0.008614,0.008614,0.008614
9,6315.38,0.96291,0.36833,1.22463,0.99977,0.99991,0.99499,0.7752,0.90914,0.28035,1.31301,0.008416,0.008416,0.008416
10,7007.86,0.95844,0.3648,1.22067,0.99982,0.9999,0.99499,0.77645,0.90893,0.27887,1.31253,0.008218,0.008218,0.008218
11,7700.33,0.95537,0.36283,1.21915,0.9998,0.9999,0.99499,0.77606,0.90847,0.27797,1.3119,0.00802,0.00802,0.00802
12,8387.49,0.95182,0.35957,1.21598,0.99981,0.99991,0.99499,0.77695,0.90796,0.27717,1.31152,0.007822,0.007822,0.007822
13,9077.91,0.94953,0.35892,1.21548,0.9998,0.99991,0.99499,0.77749,0.90707,0.27635,1.31074,0.007624,0.007624,0.007624
14,9774.18,0.94789,0.35611,1.21356,0.9998,0.99991,0.99499,0.77737,0.90648,0.27576,1.3101,0.007426,0.007426,0.007426
15,10464,0.9451,0.3536,1.21147,0.99981,0.99991,0.99499,0.77744,0.90569,0.27532,1.30929,0.007228,0.007228,0.007228
16,11154.2,0.94411,0.35262,1.21059,0.99982,0.99989,0.99499,0.77735,0.9054,0.27469,1.3091,0.00703,0.00703,0.00703
17,11847.5,0.9417,0.35122,1.20681,0.99982,0.99991,0.99499,0.77734,0.90482,0.27443,1.30816,0.006832,0.006832,0.006832
18,12540.4,0.94214,0.34949,1.20958,0.99981,0.99992,0.99499,0.77753,0.90407,0.2738,1.30742,0.006634,0.006634,0.006634
19,13233,0.94095,0.34904,1.2067,0.99983,0.99992,0.99499,0.77794,0.90356,0.2733,1.3067,0.006436,0.006436,0.006436
20,13928.3,0.9374,0.34786,1.20629,0.99979,0.99997,0.99499,0.77827,0.90331,0.27319,1.30639,0.006238,0.006238,0.006238
21,14614.9,0.93769,0.34477,1.20584,0.9998,0.99996,0.99499,0.77878,0.90261,0.27264,1.30605,0.00604,0.00604,0.00604
22,15307.6,0.93468,0.34361,1.20309,0.99981,0.99997,0.99499,0.77913,0.90211,0.2718,1.30558,0.005842,0.005842,0.005842
23,16004,0.93441,0.3439,1.20408,0.99981,0.99998,0.99499,0.77982,0.90154,0.27119,1.30486,0.005644,0.005644,0.005644
24,16693.2,0.93329,0.34258,1.20179,0.99982,0.99998,0.99499,0.77978,0.90125,0.27058,1.30448,0.005446,0.005446,0.005446
25,17388.1,0.93093,0.34077,1.20003,0.99982,0.99998,0.99499,0.77999,0.90089,0.26987,1.30398,0.005248,0.005248,0.005248
26,18082.9,0.92925,0.34013,1.19933,0.99982,0.99998,0.99499,0.78,0.90056,0.26948,1.30364,0.00505,0.00505,0.00505
27,18772.3,0.92868,0.33836,1.20094,0.99983,0.99997,0.99499,0.78048,0.90007,0.26896,1.30277,0.004852,0.004852,0.004852
28,19459.7,0.92598,0.33748,1.19813,0.99984,0.99995,0.99499,0.78134,0.89958,0.26848,1.30233,0.004654,0.004654,0.004654
29,20155.8,0.92555,0.33475,1.19727,0.99983,0.99996,0.99499,0.78201,0.89921,0.26776,1.30209,0.004456,0.004456,0.004456
30,20847.3,0.92461,0.33439,1.19747,0.99984,0.99996,0.99499,0.78264,0.89872,0.26719,1.30174,0.004258,0.004258,0.004258
31,21541.4,0.92539,0.33363,1.1977,0.99985,0.99996,0.99499,0.78351,0.89832,0.26677,1.3014,0.00406,0.00406,0.00406
32,22232.5,0.92259,0.33182,1.1958,0.99986,0.99997,0.99499,0.78403,0.89797,0.26655,1.30105,0.003862,0.003862,0.003862
33,22916.6,0.92127,0.33031,1.19533,0.99989,0.99994,0.99499,0.78387,0.8977,0.26614,1.30098,0.003664,0.003664,0.003664
34,23596.8,0.91735,0.32733,1.19102,0.99987,0.99997,0.99499,0.78411,0.89736,0.26564,1.30096,0.003466,0.003466,0.003466
35,24277.7,0.91563,0.32612,1.19126,0.99987,0.99997,0.99499,0.78448,0.89691,0.26535,1.30075,0.003268,0.003268,0.003268
36,24958.7,0.91473,0.32484,1.18872,0.99987,0.99997,0.99499,0.78487,0.89649,0.26505,1.30036,0.00307,0.00307,0.00307
37,25639.2,0.91505,0.32392,1.18972,0.99987,0.99996,0.99499,0.78538,0.8961,0.26471,1.3001,0.002872,0.002872,0.002872
38,26318.2,0.9123,0.3214,1.18613,0.99988,0.99995,0.99499,0.78584,0.89566,0.26426,1.29965,0.002674,0.002674,0.002674
39,26999.8,0.9127,0.3199,1.18754,0.99988,0.99997,0.99499,0.78632,0.89522,0.26396,1.29924,0.002476,0.002476,0.002476
40,27684,0.90947,0.31914,1.18615,0.99989,0.99997,0.99499,0.78669,0.89479,0.26364,1.29881,0.002278,0.002278,0.002278
41,28365.9,0.91726,0.30072,1.25991,0.99989,0.99997,0.99499,0.78676,0.89452,0.26327,1.29873,0.00208,0.00208,0.00208
42,29055,0.91504,0.29904,1.25634,0.99989,0.99997,0.99499,0.78704,0.89436,0.26301,1.29885,0.001882,0.001882,0.001882
43,29736.1,0.9144,0.29817,1.25186,0.99988,0.99997,0.99499,0.78679,0.89437,0.26298,1.29913,0.001684,0.001684,0.001684
44,30412.5,0.90862,0.29355,1.25249,0.99991,0.99994,0.99499,0.78674,0.89527,0.26316,1.3002,0.001486,0.001486,0.001486
45,31088.1,0.90712,0.29127,1.24784,0.99992,0.99995,0.99499,0.78643,0.89647,0.26339,1.3015,0.001288,0.001288,0.001288
46,31763.1,0.90445,0.28775,1.2487,0.99993,0.99995,0.99499,0.78608,0.89807,0.26358,1.30307,0.00109,0.00109,0.00109
47,32440.4,0.9018,0.2841,1.24589,0.99993,0.99996,0.99499,0.7855,0.89974,0.26377,1.30456,0.000892,0.000892,0.000892
48,33118.4,0.89929,0.28117,1.24297,0.99993,0.99996,0.99499,0.78513,0.9014,0.26371,1.30594,0.000694,0.000694,0.000694
49,33792.9,0.89613,0.2769,1.24215,0.99993,0.99996,0.99499,0.78487,0.90306,0.26374,1.30723,0.000496,0.000496,0.000496
50,34468.2,0.89148,0.27212,1.23957,0.99993,0.99995,0.99499,0.78473,0.90458,0.26371,1.30841,0.000298,0.000298,0.000298
1,990.449,1.84551,1.34369,2.12295,0.9902,0.9923,0.99466,0.71578,1.02566,0.51479,1.45491,0.0700181,0.00333132,0.00333132
2,1942.23,1.10134,0.54328,1.34437,0.99714,0.99641,0.99494,0.74094,0.98558,0.40361,1.40508,0.0398862,0.00653269,0.00653269
3,2892.57,1.04617,0.4648,1.2921,0.99267,0.99858,0.99477,0.73866,0.97411,0.37843,1.37991,0.00962223,0.00960206,0.00960206
4,3836.45,1.00866,0.42203,1.26266,0.99844,0.99932,0.99481,0.7633,0.93193,0.31455,1.33263,0.009406,0.009406,0.009406
5,4784.06,0.98332,0.39675,1.24274,0.99912,0.99972,0.99489,0.76886,0.92185,0.30002,1.32689,0.009208,0.009208,0.009208
6,5732.24,0.97366,0.38183,1.23409,0.9991,0.99973,0.99493,0.77234,0.91606,0.29115,1.31918,0.00901,0.00901,0.00901
7,6691.77,0.96502,0.37408,1.22624,0.99942,0.99981,0.99496,0.77576,0.91339,0.28444,1.31395,0.008812,0.008812,0.008812
8,7641.93,0.95817,0.3685,1.22237,0.99942,0.99984,0.99496,0.77559,0.90962,0.28088,1.31232,0.008614,0.008614,0.008614
9,8593.52,0.95685,0.36422,1.21982,0.99949,0.99979,0.99496,0.7766,0.90886,0.278,1.31087,0.008416,0.008416,0.008416
10,9547.27,0.95207,0.36028,1.21583,0.9995,0.99981,0.99497,0.77721,0.90812,0.2767,1.31043,0.008218,0.008218,0.008218
11,10497.7,0.95011,0.35849,1.21435,0.9996,0.99982,0.99497,0.77853,0.90751,0.27584,1.30951,0.00802,0.00802,0.00802
12,11447.9,0.94745,0.35535,1.21238,0.99959,0.99983,0.99497,0.77917,0.90684,0.27486,1.30881,0.007822,0.007822,0.007822
13,12394.2,0.94421,0.35377,1.21099,0.99963,0.99982,0.99498,0.77974,0.90649,0.27394,1.3087,0.007624,0.007624,0.007624
14,13344.4,0.94346,0.35234,1.20956,0.99966,0.99982,0.99498,0.77993,0.90621,0.27333,1.3086,0.007426,0.007426,0.007426
15,14294.7,0.93896,0.34902,1.20644,0.99968,0.99981,0.99498,0.7806,0.90568,0.27259,1.30812,0.007228,0.007228,0.007228
16,15242.2,0.93993,0.34847,1.20731,0.99972,0.99981,0.99498,0.78118,0.90538,0.27195,1.30756,0.00703,0.00703,0.00703
17,16190.5,0.93791,0.34514,1.20424,0.99972,0.99984,0.99498,0.78156,0.90473,0.27131,1.30662,0.006832,0.006832,0.006832
18,17139.4,0.93644,0.34399,1.20526,0.99972,0.99987,0.99499,0.78228,0.9042,0.27064,1.30603,0.006634,0.006634,0.006634
19,18087.8,0.93494,0.34224,1.20269,0.9997,0.99989,0.99499,0.78268,0.90365,0.26971,1.30531,0.006436,0.006436,0.006436
20,19039.7,0.93179,0.3406,1.2025,0.99969,0.99992,0.99498,0.78274,0.90339,0.26913,1.30518,0.006238,0.006238,0.006238
21,19984.8,0.93325,0.34016,1.20121,0.99968,0.99992,0.99498,0.78283,0.90306,0.26849,1.30475,0.00604,0.00604,0.00604
22,20936.6,0.93011,0.3387,1.19933,0.99969,0.99992,0.99499,0.78308,0.90247,0.26764,1.30398,0.005842,0.005842,0.005842
23,21880.8,0.93124,0.3399,1.20069,0.99968,0.99992,0.99499,0.78316,0.90199,0.26707,1.30325,0.005644,0.005644,0.005644
24,22828.7,0.92874,0.33697,1.19865,0.99975,0.99986,0.99499,0.78332,0.90153,0.26659,1.30274,0.005446,0.005446,0.005446
25,23776.7,0.92699,0.33631,1.19731,0.99978,0.99987,0.99499,0.78391,0.9012,0.26609,1.30272,0.005248,0.005248,0.005248
26,24728.9,0.92392,0.33356,1.19564,0.99978,0.99989,0.99499,0.78376,0.90079,0.26557,1.30228,0.00505,0.00505,0.00505
27,25672.9,0.92416,0.33342,1.19736,0.9998,0.99991,0.99498,0.78401,0.90035,0.26512,1.30187,0.004852,0.004852,0.004852
28,26621.8,0.92075,0.33179,1.19397,0.99981,0.99991,0.99498,0.78449,0.89966,0.26452,1.30114,0.004654,0.004654,0.004654
29,27568,0.92136,0.32875,1.19391,0.9998,0.99991,0.99498,0.78443,0.89894,0.2641,1.30048,0.004456,0.004456,0.004456
30,28518.9,0.92099,0.32779,1.1941,0.99981,0.99991,0.99498,0.78475,0.89823,0.2634,1.29954,0.004258,0.004258,0.004258
31,29468,0.92091,0.32808,1.1932,0.99981,0.99991,0.99498,0.78556,0.8976,0.26282,1.29871,0.00406,0.00406,0.00406
32,30412.6,0.91803,0.32668,1.19209,0.9998,0.99991,0.99498,0.78558,0.89715,0.26236,1.29842,0.003862,0.003862,0.003862
33,31361.2,0.91726,0.32334,1.19171,0.99982,0.99992,0.99498,0.78604,0.89665,0.26182,1.29792,0.003664,0.003664,0.003664
34,32309.1,0.91419,0.32289,1.18926,0.99984,0.99993,0.99498,0.78629,0.89618,0.26144,1.29743,0.003466,0.003466,0.003466
35,33254.9,0.91316,0.32226,1.18942,0.99984,0.99993,0.99498,0.78663,0.89574,0.26094,1.29681,0.003268,0.003268,0.003268
36,34204.6,0.91088,0.32149,1.18708,0.99986,0.99991,0.99499,0.78685,0.89528,0.26078,1.29648,0.00307,0.00307,0.00307
37,35151.2,0.91057,0.31862,1.18685,0.99988,0.99992,0.99499,0.78748,0.89478,0.26031,1.29608,0.002872,0.002872,0.002872
38,36096.9,0.90824,0.31625,1.18369,0.99986,0.99993,0.99499,0.78739,0.89422,0.25982,1.2957,0.002674,0.002674,0.002674
39,37046.4,0.90895,0.31508,1.18412,0.99988,0.99992,0.99499,0.78786,0.8937,0.25944,1.29516,0.002476,0.002476,0.002476
40,37990.6,0.90678,0.3135,1.18279,0.99988,0.99994,0.99499,0.78802,0.89347,0.25904,1.29512,0.002278,0.002278,0.002278
41,38936.2,0.91506,0.29662,1.25796,0.99989,0.99995,0.99499,0.78828,0.8933,0.25875,1.29509,0.00208,0.00208,0.00208
